tonality,vector_means
4.0,-151.12765502929688
10.0,-193.1995086669922
10.0,-328.0704650878906
2.0,-231.1517639160156
9.0,-260.56723022460943
9.0,-440.377197265625
10.0,-152.6189727783203
10.0,-324.905517578125
10.0,-178.86671447753906
10.0,-170.8463897705078
10.0,-201.919921875
10.0,-180.8630523681641
10.0,-51.31829071044922
10.0,-231.2357635498047
9.0,-117.97341918945312
10.0,-90.25618743896484
7.0,-95.62055206298828
9.0,-170.30650329589844
10.0,-349.1921691894531
10.0,-292.8191833496094
8.0,-225.5484771728516
8.0,-276.020263671875
9.0,-41.087928771972656
10.0,-489.573486328125
10.0,-213.36895751953125
8.0,-218.43980407714844
7.0,-82.66629028320312
9.0,-258.89309692382807
9.0,-1765.33544921875
8.0,-257.31161499023443
4.0,-208.57041931152344
10.0,-490.0506286621094
10.0,-77.13013458251953
5.0,-78.4211196899414
5.0,-161.23117065429688
10.0,-336.1537780761719
9.0,-149.48756408691406
9.0,-291.2549743652344
10.0,-368.8763427734375
10.0,-192.5453948974609
8.0,-343.4986877441406
8.0,-586.41796875
10.0,-95.45751190185548
9.0,-232.5798797607422
2.0,-58.26092147827149
9.0,-4638.533203125
9.0,-839.4575805664062
8.0,-2064.692138671875
7.0,-1022.4913940429688
6.0,-633.6265258789062
9.0,-369.7506103515625
10.0,-449.30267333984375
10.0,-446.955810546875
10.0,-95.4634017944336
9.0,-26.32094764709473
10.0,-399.9751586914063
10.0,-22.766008377075195
10.0,-152.39280700683594
10.0,-313.443115234375
8.0,-187.2490539550781
9.0,-201.89476013183597
10.0,-25.13442611694336
8.0,-41.01211166381836
9.0,-69.99491882324219
9.0,-298.48944091796875
9.0,-213.45147705078125
9.0,-451.9900207519531
9.0,-54.23968505859375
10.0,-409.100341796875
9.0,-131.19792175292972
9.0,-310.306884765625
7.0,-523.1741333007811
9.0,-74.56388854980469
8.0,-188.49923706054688
10.0,-1139.4410400390625
10.0,-171.60714721679688
9.0,-49.5264778137207
10.0,-39.63537216186523
10.0,-412.5604248046875
9.0,-212.01480102539062
10.0,-138.15042114257812
9.0,-452.2167053222656
9.0,-590.9947509765625
3.0,-921.0194091796876
10.0,-676.8365478515625
10.0,-154.63150024414062
8.0,-152.8911590576172
9.0,-108.59098052978516
8.0,-56.24034118652344
10.0,-192.721923828125
7.0,-15.60108470916748
9.0,-62.10037231445313
9.0,-47.84841918945313
8.0,-189.0316925048828
10.0,-351.4122619628906
10.0,-28.57008552551269
10.0,-27.99420166015625
9.0,-89.3599624633789
9.0,-102.22257995605469
6.0,-222.22640991210938
8.0,-150.51776123046875
8.0,-510.3918762207031
6.0,-161.9989471435547
10.0,-113.8268051147461
9.0,-225.0963287353516
10.0,-158.9705352783203
7.0,-257.80596923828125
10.0,-23.1007022857666
9.0,-251.6221923828125
9.0,-32.34502410888672
6.0,-767.2217407226562
4.0,-910.131103515625
9.0,-671.4502563476562
10.0,-443.6962890625
10.0,-472.8021545410156
10.0,-466.04425048828125
9.0,-313.78350830078125
9.0,-217.78858947753903
6.0,-1038.09228515625
9.0,-426.5965881347656
4.0,-205.81712341308597
8.0,-206.81480407714844
7.0,-42.20470428466797
9.0,-223.2250061035156
5.0,-1458.2322998046875
8.0,-61.78952026367188
10.0,-87.04452514648438
8.0,-132.33885192871094
5.0,-312.0404968261719
7.0,-247.18121337890625
10.0,-342.95257568359375
9.0,-754.1781616210938
9.0,-794.4481201171875
4.0,-524.6822509765625
8.0,-373.8952941894531
9.0,-317.0468444824219
8.0,-116.93413543701172
8.0,-316.6451110839844
9.0,-203.5476531982422
10.0,-89.32044219970703
10.0,-389.6139221191406
10.0,-708.5679931640625
10.0,-133.13058471679688
9.0,-214.700927734375
9.0,-108.18734741210938
10.0,-297.8564453125
3.0,-203.97935485839844
10.0,-449.4052429199219
10.0,-89.75130462646484
8.0,-322.1620178222656
9.0,-126.02021026611328
8.0,-522.6546630859375
9.0,-73.78462982177734
9.0,-155.38272094726562
9.0,-211.91497802734372
8.0,-36.069427490234375
9.0,-69.10090637207031
10.0,-132.54367065429688
10.0,-2200.792724609375
8.0,-716.175537109375
8.0,-337.27001953125
8.0,-286.94635009765625
8.0,-199.1838531494141
10.0,-1876.315673828125
7.0,-219.4305877685547
8.0,-309.0384521484375
4.0,-123.64324188232422
8.0,-298.9325256347656
10.0,-1255.8466796875
3.0,-99.45336151123048
7.0,-875.6422729492188
7.0,-1024.2618408203123
10.0,-585.7329711914062
9.0,-1040.0660400390623
9.0,-884.5723266601562
6.0,-1071.83349609375
8.0,-302.7466125488281
9.0,-705.9024047851562
8.0,-527.6737060546875
9.0,-1401.4429931640625
4.0,-1234.11669921875
9.0,-78.4331283569336
8.0,-87.88459777832031
9.0,-448.3028869628906
8.0,-261.00711059570307
9.0,-308.36810302734375
9.0,-147.73263549804688
9.0,-41.81743621826172
8.0,-264.63592529296875
10.0,-77.4729232788086
10.0,-35.128677368164055
10.0,-517.640625
8.0,-115.14887237548828
9.0,-251.293701171875
9.0,-324.9782409667969
